source_relative_path	published_relative_path	source_bytes	source_sha256	published_sha256	publication_change
lerobot/docs/source/policy_multi_task_dit_README.md	lerobot/docs/source/policy_multi_task_dit_README.md	1131	cd410977ac83ccb43e363f97aae8a86363295a565f6e67c5f4b609c213cdfcc5	cd410977ac83ccb43e363f97aae8a86363295a565f6e67c5f4b609c213cdfcc5	original
lerobot/docs/source/policy_pi05_README.md	lerobot/docs/source/policy_pi05_README.md	4672	b049a73d6fc826357d051b1ae5f98affa85dc03ae06ca94400084af069dc4e5c	b049a73d6fc826357d051b1ae5f98affa85dc03ae06ca94400084af069dc4e5c	original
lerobot/docs/source/policy_pi0_README.md	lerobot/docs/source/policy_pi0_README.md	4788	425032c8bb3fed096eda45e032d6ded6a3d8bd431d19d8bacc8b00d479aa487e	425032c8bb3fed096eda45e032d6ded6a3d8bd431d19d8bacc8b00d479aa487e	original
lerobot/docs/source/policy_rtc_README.md	lerobot/docs/source/policy_rtc_README.md	1208	5a00a77a749a9bf9d0b6d2bd2f21005f159cbdb136db042165223fc0d1311a18	5a00a77a749a9bf9d0b6d2bd2f21005f159cbdb136db042165223fc0d1311a18	original
lerobot/docs/source/policy_smolvla_README.md	lerobot/docs/source/policy_smolvla_README.md	536	518995d5cb706f7e70e8aa606b71c53279f6d6cf6ed8a988c15bb903cc5af16c	518995d5cb706f7e70e8aa606b71c53279f6d6cf6ed8a988c15bb903cc5af16c	original
lerobot/docs/source/policy_tdmpc_README.md	lerobot/docs/source/policy_tdmpc_README.md	265	6227f422719d11a585ba36fc8a724421d3005cbb34350029e3dc491518b8b388	6227f422719d11a585ba36fc8a724421d3005cbb34350029e3dc491518b8b388	original
lerobot/docs/source/policy_vla_jepa_README.md	lerobot/docs/source/policy_vla_jepa_README.md	1800	f017d5e99bc369b76256a18b5e190005b119f0e37fa8917d9a0c47c7b641ebc5	f017d5e99bc369b76256a18b5e190005b119f0e37fa8917d9a0c47c7b641ebc5	original
lerobot/docs/source/policy_vqbet_README.md	lerobot/docs/source/policy_vqbet_README.md	333	b80931a074f1bebf79b33bcac668edf999cc657c3665937e697da4e263ce3837	b80931a074f1bebf79b33bcac668edf999cc657c3665937e697da4e263ce3837	original
lerobot/docs/source/policy_walloss_README.md	lerobot/docs/source/policy_walloss_README.md	1651	84b9278b4d4c70b3c2600f618244dd3c04dec48a2a86d972c30e9c5e438ffe83	84b9278b4d4c70b3c2600f618244dd3c04dec48a2a86d972c30e9c5e438ffe83	original
lerobot/docs/source/so100.mdx	lerobot/docs/source/so100.mdx	19908	f25586ff96ba4af49184ce62e9a6861307ef03cde132b777e45da77b72e234c2	f25586ff96ba4af49184ce62e9a6861307ef03cde132b777e45da77b72e234c2	original
